listing_title,listing_category,short_description,description,website,phone,email,listing_tags,address,code_postal,username,fee_id,expires_on
"WebCdesign - Cédric MONNOT",Services,,"Création site internet. Société de création de sites Web, réservation de nom de domaine, hébergement, messagerie, certificat SSL, référencement, ...",https://webcdesign.com,"06 28 58 29 44",contact@webcdesign.com,,"11 route des Vignerons, 30290, Saint Victor la Coste",,stvictor2,,
"optimhome - Daniel Specchio","Services,Immobilier",,"Agent immobilier. ",https://www.optimhome.com/conseillers/specchio,"06 74 94 96 45",toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,"6 avenue de la Libération, 30290, Saint Victor la Coste",,stvictor2,,
" ",Santé,,". ",,"04 66 50 32 70",toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,"1 impasse Font Hiau, 30290, Saint Victor la Coste",,stvictor2,,
"Taxi VSL - Taxi Audy",Santé,,". ",,,toto@gmail.com,,"19 rue de Baracca, 30290, Saint Victor la Coste",,stvictor2,,
"Taxi, Ambulance - Taxi Tonio",Santé,,". ",,"04 66 50 12 54",toto@gmail.com,,", , ",,stvictor2,,
"Pharmacie St Victor - Stéphanie Couderc",Santé,,". ",,"04 66 50 12 15",toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
" ",Santé,,". ",,,toto@gmail.com,,", , ",,stvictor2,,
"Boulangerie - Jean-Luc Forget",Commerces,,". ",,"04 66 50 05 22",toto@gmail.com,,", , ",,stvictor2,,
"Café restaurant - Café restaurant de l'Industrie",Commerces,,". Café, bar, brasserie, restaurant",,"04 66 50 31 61",toto@gmail.com,,", , ",,stvictor2,,
"Commerce ambulant - Pizza CHRIS",Commerces,,". Vente pizza jeudi, vendredi et samedi soir.",,,toto@gmail.com,,", , ",,stvictor2,,
"Commerce ambulant -  ",Commerces,,". Vente pizza dimanche soir.",,,toto@gmail.com,,", , ",,stvictor2,,
"Commerce ambulant - Régal PIZZA",Commerces,,". Vente pizza, snack, baraque à frites le mardi soir.",,"06 12 07 58 20",toto@gmail.com,,", , ",,stvictor2,,
"Salon de coiffure - Salon Frimousse",Commerces,,". ",,"04 66 50 12 41",toto@gmail.com,,", , ",,stvictor2,,
"Salon de coiffure LB - Laurence BEL",Commerces,,". ",,,toto@gmail.com,,"4 Bis chemin du chardonay, 30290, Saint Victor La Coste",,stvictor2,,
"Tabac, presse - SAVO Carine et Laetitia",Commerces,,". Tabac presse, journaux, magazine, jeux, loto",,"04 66 50 44 32",toto@gmail.com,,", , ",,stvictor2,,
"Vival - Mr et Mme GILLES",Commerces,,".  ",,"04 34 47 01 74",toto@gmail.com,,", , ",,stvictor2,,
